date_time,b_code,usage,peak
201901010000,SGBD,237.06,948.24
201901010015,SGBD,236.88,947.52
201901010030,SGBD,236.88,947.52
201901010045,SGBD,234.9,939.6
201901010100,SGBD,234.54,938.16
201901010115,SGBD,234.18,936.72
201901010130,SGBD,230.94,923.76
201901010145,SGBD,228.6,914.4
201901010200,SGBD,230.04,920.16
201901010215,SGBD,235.08,940.32
201901010230,SGBD,235.62,942.48
201901010245,SGBD,235.62,942.48
201901010300,SGBD,227.34,909.36
201901010315,SGBD,228.24,912.96
201901010330,SGBD,229.14,916.56
201901010345,SGBD,228.78,915.12
201901010400,SGBD,230.22,920.88
201901010415,SGBD,228.96,915.84
201901010430,SGBD,232.2,928.8
201901010445,SGBD,228.6,914.4
201901010500,SGBD,229.68,918.72
201901010515,SGBD,232.2,928.8
201901010530,SGBD,230.76,923.04
201901010545,SGBD,229.14,916.56
201901010600,SGBD,234,936
201901010615,SGBD,236.7,946.8
201901010630,SGBD,237.42,949.68
201901010645,SGBD,237.6,950.4
201901010700,SGBD,239.94,959.76
201901010715,SGBD,240.3,961.2
201901010730,SGBD,237.96,951.84
201901010745,SGBD,239.4,957.6
201901010800,SGBD,238.5,954
201901010815,SGBD,237.06,948.24
201901010830,SGBD,237.06,948.24
201901010845,SGBD,243.54,974.16
201901010900,SGBD,243.9,975.6
201901010915,SGBD,239.94,959.76
201901010930,SGBD,240.3,961.2
201901010945,SGBD,244.08,976.32
201901011000,SGBD,242.28,969.12
201901011015,SGBD,243,972
201901011030,SGBD,242.1,968.4
201901011045,SGBD,246.78,987.12
201901011100,SGBD,240.12,960.48
201901011115,SGBD,244.62,978.48
201901011130,SGBD,246.06,984.24
201901011145,SGBD,249.66,998.64
201901011200,SGBD,244.98,979.92
201901011215,SGBD,246.24,984.96
201901011230,SGBD,239.04,956.16
201901011245,SGBD,241.2,964.8
201901011300,SGBD,246.96,987.84
201901011315,SGBD,240.84,963.36
201901011330,SGBD,243.36,973.44
201901011345,SGBD,242.46,969.84
201901011400,SGBD,240.12,960.48
201901011415,SGBD,246.06,984.24
201901011430,SGBD,244.62,978.48
201901011445,SGBD,244.08,976.32
201901011500,SGBD,243.72,974.88
201901011515,SGBD,243,972
201901011530,SGBD,244.8,979.2
201901011545,SGBD,243.18,972.72
201901011600,SGBD,239.76,959.04
201901011615,SGBD,240.66,962.64
201901011630,SGBD,242.28,969.12
201901011645,SGBD,239.04,956.16
201901011700,SGBD,243.72,974.88
201901011715,SGBD,248.76,995.04
201901011730,SGBD,247.86,991.44
201901011745,SGBD,247.86,991.44
201901011800,SGBD,248.22,992.88
201901011815,SGBD,245.34,981.36
201901011830,SGBD,245.16,980.64
201901011845,SGBD,244.8,979.2
201901011900,SGBD,242.1,968.4
201901011915,SGBD,243.72,974.88
201901011930,SGBD,244.62,978.48
201901011945,SGBD,241.2,964.8
201901012000,SGBD,246.6,986.4
201901012015,SGBD,248.4,993.6
201901012030,SGBD,241.38,965.52
201901012045,SGBD,240.48,961.92
201901012100,SGBD,233.1,932.4
201901012115,SGBD,234,936
